step,hour,community_load_kw,community_pv_kw,community_net_kw,avg_forecast_mape,ess_soc_pct,ess_power_kw,market_matched_kw,market_trade_count,cumulative_saving_krw
58,14,771.832,390.028,381.804,12.274870923206969,10.0,-50.0,0.0,0,418.05469292500004
59,14,763.929,362.062,401.86699999999996,12.167780215642352,10.0,-50.0,0.0,0,418.05469292500004
60,15,760.154,318.169,441.985,8.304931463633476,10.0,-50.0,0.0,0,418.05469292500004
61,15,715.1320000000001,304.98,410.15200000000004,9.742729735565959,10.0,-50.0,0.0,0,418.05469292500004
62,15,706.361,276.085,430.276,8.714210288226647,10.0,-50.0,0.0,0,418.05469292500004
63,15,686.258,260.807,425.451,8.35139231609993,10.0,-50.0,0.0,0,418.05469292500004
64,16,662.345,254.364,407.981,4.197693848693473,10.0,-50.0,0.0,0,418.05469292500004
65,16,642.838,216.303,426.53499999999997,4.183238108326413,10.0,-50.0,0.0,0,418.05469292500004
66,16,622.094,179.167,442.927,2.736815244119181,10.0,-50.0,0.0,0,418.05469292500004
67,16,621.51,155.122,466.388,3.5988218308828466,10.0,-50.0,0.0,0,418.05469292500004
68,17,603.223,118.081,485.14199999999994,4.332951586828065,10.0,-50.0,0.0,0,418.05469292500004
69,17,589.605,91.037,498.568,3.2253663893609263,10.0,-50.0,0.0,0,418.05469292500004
70,17,587.982,59.405,528.577,2.825257786811261,10.0,-50.0,0.0,0,418.05469292500004
71,17,588.373,29.424,558.9490000000001,3.298383747413589,10.0,-50.0,0.0,0,418.05469292500004
72,18,502.1,0.0,502.1,10.235171106201374,10.0,-50.0,0.0,0,418.05469292500004
73,18,507.993,0.0,507.993,10.162711810941792,10.0,-50.0,0.0,0,418.05469292500004
74,18,515.736,0.0,515.736,9.601122205932805,10.0,-50.0,0.0,0,418.05469292500004
75,18,525.118,0.0,525.118,9.530417628219222,10.0,-50.0,0.0,0,418.05469292500004
76,19,518.852,0.0,518.852,16.079821188668554,10.0,-50.0,0.0,0,418.05469292500004
77,19,540.354,0.0,540.354,16.330071492843363,10.0,-50.0,0.0,0,418.05469292500004
78,19,543.9399999999999,0.0,543.9399999999999,17.378391357658238,10.0,-50.0,0.0,0,418.05469292500004
79,19,557.551,0.0,557.551,16.50941937826004,10.0,-50.0,0.0,0,418.05469292500004
80,20,570.984,0.0,570.984,23.66475307797713,10.0,-50.0,0.0,0,418.05469292500004
81,20,600.242,0.0,600.242,23.484509286858238,10.0,-50.0,0.0,0,418.05469292500004
82,20,616.859,0.0,616.859,23.871484232843066,10.0,-50.0,0.0,0,418.05469292500004
83,20,654.305,0.0,654.305,23.678460094425944,10.0,-50.0,0.0,0,418.05469292500004
84,21,684.683,0.0,684.683,29.25522792841764,10.0,-50.0,0.0,0,418.05469292500004
85,21,688.2139999999999,0.0,688.2139999999999,28.916331559468585,10.0,-50.0,0.0,0,418.05469292500004
86,21,705.891,0.0,705.891,28.727670142932418,10.0,-50.0,0.0,0,418.05469292500004
87,21,727.776,0.0,727.776,28.8651887020472,10.0,-50.0,0.0,0,418.05469292500004
88,22,597.4250000000001,0.0,597.4250000000001,33.8103873605193,10.0,-50.0,0.0,0,418.05469292500004
89,22,648.821,0.0,648.821,32.70841787549148,10.0,-50.0,0.0,0,418.05469292500004
90,22,664.401,0.0,664.401,33.15482282066108,10.0,-50.0,0.0,0,418.05469292500004
91,22,638.08,0.0,638.08,34.01845771082118,10.0,-50.0,0.0,0,418.05469292500004
92,23,656.185,0.0,656.185,36.03885891881527,10.0,-50.0,0.0,0,418.05469292500004
93,23,627.343,0.0,627.343,35.76711151406275,10.0,-50.0,0.0,0,418.05469292500004
94,23,628.2,0.0,628.2,36.372106214662224,10.0,-50.0,0.0,0,418.05469292500004
95,23,632.765,0.0,632.765,33.92105158988572,10.0,-50.0,0.0,0,418.05469292500004
